species,latitude,longitude
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.75718341,-171.743715
Vulpes.lagopus,63.75718341,-171.743715
Vulpes.lagopus,63.75718341,-171.743715
Vulpes.lagopus,63.74996327,-171.7437143
Vulpes.lagopus,63.735533,-171.7437129
Vulpes.lagopus,63.72109272,-171.7437115
Vulpes.lagopus,63.72109272,-171.7437115
Vulpes.lagopus,63.70665244,-171.7437102
Vulpes.lagopus,63.70665244,-171.7437102
Vulpes.lagopus,63.69222216,-171.7437088
Vulpes.lagopus,63.69222216,-171.7437088
Vulpes.lagopus,63.69222216,-171.7437088
Vulpes.lagopus,63.69222216,-171.7437088
Vulpes.lagopus,63.69222216,-171.7437088
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.66334161,-171.7437061
Vulpes.lagopus,63.63447105,-171.7437034
Vulpes.lagopus,63.6056005,-171.7437007
Vulpes.lagopus,63.6056005,-171.7437007
Vulpes.lagopus,63.57672995,-171.743698
Vulpes.lagopus,63.56228968,-171.7436966
Vulpes.lagopus,63.56228968,-171.7436966
Vulpes.lagopus,63.56228968,-171.7436966
Vulpes.lagopus,63.56228968,-171.7436966
Vulpes.lagopus,63.50453859,-171.7436912
Vulpes.lagopus,63.49010832,-171.7436899
Vulpes.lagopus,63.49010832,-171.7436899
Vulpes.lagopus,63.41791696,-171.7436832
Vulpes.lagopus,63.41791696,-171.7436832
Vulpes.lagopus,63.34573561,-171.7436766
Vulpes.lagopus,63.34573561,-171.7436766
Vulpes.lagopus,63.34573561,-171.7436766
Vulpes.lagopus,63.34573561,-171.7436766
Vulpes.lagopus,63.34573561,-171.7436766
Vulpes.lagopus,63.34662,-171.74111
Vulpes.lagopus,63.34662,-171.74111
Vulpes.lagopus,63.34662,-171.74111
Vulpes.lagopus,63.34662,-171.74111
Vulpes.lagopus,63.34662,-171.74111
Vulpes.lagopus,63.4188,-171.74111
Vulpes.lagopus,63.4188,-171.74111
Vulpes.lagopus,63.49099,-171.74111
Vulpes.lagopus,63.49099,-171.74111
Vulpes.lagopus,63.50542,-171.74111
Vulpes.lagopus,63.56317,-171.74111
Vulpes.lagopus,63.56317,-171.74111
Vulpes.lagopus,63.56317,-171.74111
Vulpes.lagopus,63.56317,-171.74111
Vulpes.lagopus,63.56317,-171.74111
Vulpes.lagopus,63.57761,-171.74111
Vulpes.lagopus,63.60648,-171.74111
Vulpes.lagopus,63.60648,-171.74111
Vulpes.lagopus,63.63535,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.6931,-171.74111
Vulpes.lagopus,63.70754,-171.74111
Vulpes.lagopus,63.70754,-171.74111
Vulpes.lagopus,63.72198,-171.74111
Vulpes.lagopus,63.72198,-171.74111
Vulpes.lagopus,63.73641,-171.74111
Vulpes.lagopus,63.75085,-171.74111
Vulpes.lagopus,63.75085,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
Vulpes.lagopus,63.77972,-171.74111
